CustomerID,purchase_frequency,total_revenue,total_quantity,last_purchase_date,first_purchase_date,unique_products,days_since_last_purchase,customer_lifespan_days,avg_order_value
12346,1,77183.6,74215,2011-01-18,2011-01-18,1,325,0,77183.6
12347,7,4310.0,2458,2011-12-07,2010-12-07,103,1,365,615.71
12348,4,1797.24,2341,2011-09-25,2010-12-16,22,74,282,449.31
12349,1,1757.55,631,2011-11-21,2011-11-21,73,18,0,1757.55
12350,1,334.4,197,2011-02-02,2011-02-02,17,309,0,334.4
12352,8,2506.04,536,2011-11-03,2011-02-16,59,35,260,313.26
12353,1,89.0,20,2011-05-19,2011-05-19,4,203,0,89.0
12354,1,1079.4,530,2011-04-21,2011-04-21,58,231,0,1079.4
12355,1,459.4,240,2011-05-09,2011-05-09,13,213,0,459.4
12356,3,2811.43,1591,2011-11-17,2011-01-18,53,22,302,937.14
12357,1,6207.67,2708,2011-11-06,2011-11-06,131,32,0,6207.67
12358,2,1168.06,248,2011-12-08,2011-07-12,13,1,149,584.03
12359,4,6310.03,1609,2011-10-13,2011-01-12,214,57,274,1577.51
12360,3,2662.06,1165,2011-10-18,2011-05-23,105,51,148,887.35
12361,1,189.9,91,2011-02-25,2011-02-25,10,286,0,189.9
12362,10,5226.23,2229,2011-12-06,2011-02-17,201,2,292,522.62
12363,2,552.0,408,2011-08-22,2011-04-11,23,109,132,276.0
12364,4,1313.1,1506,2011-12-02,2011-08-19,70,7,104,328.28
12365,2,641.38,174,2011-02-21,2011-02-21,22,290,0,320.69
12367,1,168.9,173,2011-12-05,2011-12-05,11,3,0,168.9
12370,4,3541.94,2352,2011-10-19,2010-12-14,143,50,309,885.48
12371,2,1887.96,591,2011-10-26,2011-10-11,63,44,14,943.98
12372,3,1298.04,794,2011-09-29,2011-02-16,34,71,224,432.68
12373,1,364.6,197,2011-02-01,2011-02-01,14,310,0,364.6
12374,1,742.9300000000001,342,2011-11-14,2011-11-14,33,24,0,742.93
12375,2,457.5,178,2011-11-29,2011-09-02,14,10,87,228.75
12377,2,1628.12,944,2011-01-28,2010-12-20,72,314,39,814.06
12378,1,4008.62,2529,2011-08-02,2011-08-02,219,129,0,4008.62
12379,2,852.24,407,2011-09-19,2011-06-22,39,81,88,426.12
12380,4,2724.81,1127,2011-11-18,2011-06-07,77,21,164,681.2
12381,5,1845.31,808,2011-12-05,2011-08-12,70,4,115,369.06
12383,5,1850.56,1532,2011-06-08,2010-12-22,84,184,167,370.11
12384,2,585.27,126,2011-11-11,2011-08-10,26,28,92,292.64
12386,2,401.9,354,2011-01-06,2010-12-08,10,337,29,200.95
12388,6,2780.66,1462,2011-11-24,2011-01-17,57,15,311,463.44
12390,1,549.84,353,2011-09-21,2011-09-21,32,79,0,549.84
12391,1,439.66,293,2011-11-18,2011-11-18,92,21,0,439.66
12393,4,1582.6000000000001,816,2011-09-28,2011-01-11,47,71,260,395.65
12394,2,1272.48,819,2011-10-07,2011-05-06,26,63,153,636.24
12395,12,3018.63,2118,2011-11-20,2010-12-03,91,18,351,251.55
12397,2,2409.9,1263,2011-11-04,2011-07-27,110,35,99,1204.95
12398,1,1635.6599999999999,1394,2011-10-25,2011-10-25,85,45,0,1635.66
12399,4,1108.65,1178,2011-08-12,2011-03-23,47,118,142,277.16
12401,1,84.3,11,2011-02-09,2011-02-09,5,302,0,84.3
12402,1,225.6,94,2011-01-20,2011-01-20,11,322,0,225.6
12403,1,427.7,96,2011-10-21,2011-10-21,5,49,0,427.7
12405,1,1710.39,857,2011-07-14,2011-07-14,54,148,0,1710.39
12406,2,3415.3,1818,2011-11-17,2011-06-09,92,21,161,1707.65
12407,5,1708.1200000000001,1416,2011-10-21,2011-03-20,57,49,214,341.62
12408,5,2888.55,1409,2011-11-07,2011-03-24,81,32,227,577.71
12409,3,11072.67,5551,2011-09-22,2011-06-10,91,78,103,3690.89
12410,2,693.3299999999999,211,2011-02-04,2011-02-04,26,308,0,346.66
12412,3,1226.88,829,2011-09-26,2011-06-23,43,74,94,408.96
12413,3,758.1,286,2011-10-04,2011-01-06,29,66,270,252.7
12414,3,562.41,300,2011-05-06,2011-02-02,16,216,93,187.47
12415,21,124914.53,77374,2011-11-15,2011-01-06,444,23,313,5948.31
12417,9,3649.1,1552,2011-12-06,2010-12-17,158,2,354,405.46
12418,1,668.58,407,2011-08-19,2011-08-19,34,112,0,668.58
12420,1,600.39,345,2011-10-07,2011-10-07,29,63,0,600.39
12421,4,807.04,484,2011-11-24,2011-01-24,32,15,303,201.76
12422,3,803.5600000000001,370,2011-09-05,2011-01-19,39,95,229,267.85
12423,8,1859.31,1339,2011-12-09,2010-12-21,97,0,352,232.41
12424,2,1760.96,740,2011-06-30,2011-06-30,30,162,0,880.48
12425,1,777.2,496,2011-09-22,2011-09-22,36,77,0,777.2
12426,1,582.73,258,2011-05-29,2011-05-29,30,194,0,582.73
12427,3,825.8,533,2011-11-18,2010-12-03,26,21,349,275.27
12428,9,7956.46,3536,2011-11-14,2011-03-01,258,25,257,884.05
12429,4,3750.4,1557,2011-11-30,2010-12-09,82,8,356,937.6
12430,1,256.4,117,2011-10-27,2011-10-27,11,42,0,256.4
12431,15,6419.95,2896,2011-11-04,2010-12-01,163,35,338,428.0
12432,5,5059.32,1801,2011-10-28,2011-06-20,107,42,129,1011.86
12433,7,13375.87,11071,2011-12-09,2010-12-01,219,0,372,1910.84
12434,2,806.14,394,2011-09-16,2011-03-24,46,84,175,403.07
12435,2,7829.89,2055,2011-09-21,2011-03-17,31,79,188,3914.94
12436,1,509.01,211,2011-09-01,2011-09-01,16,99,0,509.01
12437,18,4951.41,2922,2011-12-08,2011-01-12,118,1,329,275.08
12438,2,2906.85,1180,2011-11-25,2011-07-22,84,13,125,1453.42
12441,1,173.55,121,2010-12-08,2010-12-08,11,366,0,173.55
12442,1,172.06,182,2011-12-06,2011-12-06,12,2,0,172.06
12444,5,5005.46,1153,2011-11-18,2011-06-21,138,20,149,1001.09
12445,1,133.4,62,2011-11-17,2011-11-17,4,21,0,133.4
12446,1,1002.3100000000001,351,2011-10-13,2011-10-13,57,57,0,1002.31
12447,1,476.49,190,2011-04-10,2011-04-10,26,242,0,476.49
12448,1,449.45,243,2011-10-26,2011-10-26,22,43,0,449.45
12449,4,4067.29,1553,2011-11-17,2011-06-05,118,21,164,1016.82
12450,2,197.88,128,2011-07-06,2011-06-19,7,155,17,98.94
12451,5,9035.52,6575,2011-11-29,2011-01-19,265,10,313,1807.1
12452,2,430.57,185,2011-11-23,2011-11-23,21,16,0,215.28
12453,1,707.09,473,2011-07-28,2011-07-28,43,133,0,707.09
12454,1,3528.34,1006,2011-10-14,2011-10-14,15,55,0,3528.34
12455,6,2466.86,2089,2011-09-27,2011-02-16,85,72,223,411.14
12456,3,3181.04,1633,2011-10-26,2011-03-30,105,43,210,1060.35
12457,7,2363.23,843,2011-10-04,2011-04-14,53,65,172,337.6
12458,2,947.4,506,2011-09-29,2011-02-28,35,70,213,473.7
12461,2,826.88,287,2011-09-06,2011-07-08,35,93,60,413.44
12462,2,1189.59,536,2011-11-21,2011-02-09,51,18,284,594.79
12463,4,1344.78,776,2011-10-17,2011-04-12,65,52,188,336.2
12464,8,1212.05,112,2011-11-29,2011-02-03,6,9,299,151.51
12465,2,742.1899999999999,479,2011-11-22,2011-06-23,46,16,152,371.1
12468,2,729.5400000000001,366,2011-06-05,2011-01-27,36,187,128,364.77
12471,30,19788.65,8200,2011-12-07,2010-12-10,150,1,362,659.62
12472,7,6572.11,4148,2011-11-07,2010-12-05,219,31,336,938.87
12473,5,3928.0499999999997,2414,2011-11-10,2011-06-01,140,28,162,785.61
12474,18,7324.09,4833,2011-11-22,2011-01-14,253,16,312,406.89
12475,1,723.38,535,2011-10-17,2011-10-17,36,53,0,723.38
12476,11,6816.42,2408,2011-11-24,2010-12-13,177,15,345,619.67
12477,6,13219.74,3653,2011-11-17,2011-02-11,191,22,278,2203.29
12478,1,680.99,236,2011-12-06,2011-12-06,36,3,0,680.99
12479,1,527.2,385,2011-11-28,2011-11-28,31,10,0,527.2
12480,4,3281.63,1707,2011-11-11,2011-01-07,129,27,307,820.41
12481,10,5579.82,3294,2011-11-17,2010-12-09,150,22,342,557.98
12483,8,2484.98,1110,2011-11-22,2011-01-04,46,16,322,310.62
12484,6,4527.32,2187,2011-11-07,2011-01-07,256,32,303,754.55
12488,3,1298.66,529,2011-11-30,2011-09-25,46,9,65,432.89
12489,1,334.93,105,2011-01-07,2011-01-07,15,335,0,334.93
12490,10,5417.93,3064,2011-12-04,2011-01-14,131,4,324,541.79
12491,1,460.40000000000003,260,2011-11-01,2011-11-01,25,38,0,460.4
12492,2,263.21000000000004,192,2011-10-07,2011-08-26,19,62,42,131.61
12493,2,433.74,207,2011-06-27,2011-05-26,20,165,31,216.87
12494,7,1246.1000000000001,707,2011-11-24,2010-12-09,63,15,349,178.01
12497,1,1043.1,1236,2011-09-19,2011-09-19,14,81,0,1043.1
12498,3,403.70000000000005,159,2011-11-18,2011-10-13,21,20,36,134.57
12500,11,4257.82,2678,2011-11-16,2011-01-10,34,22,310,387.07
12501,1,2169.39,1783,2011-01-07,2011-01-07,149,336,0,2169.39
12502,5,3723.87,820,2011-09-05,2011-02-03,102,95,214,744.77
12504,2,482.04999999999995,90,2011-11-21,2011-11-09,6,17,12,241.02
12506,1,73.5,23,2011-04-21,2011-04-21,23,232,0,73.5
12507,3,1304.81,894,2011-07-28,2011-02-14,19,133,164,434.94
12508,2,397.88,271,2011-11-13,2011-11-10,57,25,2,198.94
12509,1,176.5,55,2011-02-28,2011-02-28,7,283,0,176.5
12510,2,982.5699999999999,353,2011-07-20,2011-01-18,29,142,182,491.28
12512,2,132.18,96,2011-10-04,2011-10-04,31,65,0,66.09
12513,1,612.29,462,2011-08-19,2011-08-19,35,112,0,612.29
12514,1,1017.68,440,2011-03-17,2011-03-17,51,266,0,1017.68
12515,1,383.7,131,2010-12-21,2010-12-21,16,352,0,383.7
12516,2,1312.06,875,2011-09-23,2011-06-12,20,77,102,656.03
12517,5,2481.6,1361,2011-11-11,2011-06-02,232,27,161,496.32
12518,5,2056.89,1318,2011-12-09,2011-08-21,84,0,109,411.38
12519,1,330.84,175,2011-10-07,2011-10-07,17,63,0,330.84
12520,5,2634.26,1439,2011-09-21,2011-03-11,121,78,194,526.85
12521,1,599.68,309,2011-07-20,2011-07-20,38,142,0,599.68
12522,2,192.72,194,2011-10-31,2011-10-19,11,38,12,96.36
12523,11,1789.77,865,2011-11-20,2011-01-12,84,18,312,162.71
12524,8,4485.72,3699,2011-11-30,2011-01-10,113,8,324,560.72
12526,3,1316.66,632,2011-12-09,2011-09-06,64,0,93,438.89
12527,3,348.71000000000004,234,2011-09-19,2011-01-18,18,81,243,116.24
12528,6,1933.48,756,2011-11-30,2011-01-31,50,8,303,322.25
