CustomerID,segment,cluster,days_since_last_purchase,purchase_frequency,total_revenue,unique_products,avg_order_value,customer_lifespan_days
12347,Regular Customer,1,1,7,4310.0,103,615.71,365
12348,Regular Customer,1,74,4,1797.24,22,449.31,282
12349,Regular Customer,1,18,1,1757.55,73,1757.55,0
12350,Low Value Customer,0,309,1,334.4,17,334.4,0
12352,Regular Customer,1,35,8,2506.04,59,313.26,260
12353,Low Value Customer,0,203,1,89.0,4,89.0,0
12354,Low Value Customer,0,231,1,1079.4,58,1079.4,0
12355,Low Value Customer,0,213,1,459.4,13,459.4,0
12356,Regular Customer,1,22,3,2811.43,53,937.14,302
12357,Regular Customer,1,32,1,6207.67,131,6207.67,0
12358,Regular Customer,1,1,2,1168.06,13,584.03,149
12359,Regular Customer,1,57,4,6310.03,214,1577.51,274
12360,Regular Customer,1,51,3,2662.06,105,887.35,148
12361,Low Value Customer,0,286,1,189.9,10,189.9,0
12362,VIP Customer,2,2,10,5226.23,201,522.62,292
12363,Regular Customer,1,109,2,552.0,23,276.0,132
12364,Regular Customer,1,7,4,1313.1,70,328.28,104
12365,Low Value Customer,0,290,2,641.38,22,320.69,0
12367,Regular Customer,1,3,1,168.9,11,168.9,0
12370,Regular Customer,1,50,4,3541.94,143,885.48,309
12371,Regular Customer,1,44,2,1887.96,63,943.98,14
12372,Regular Customer,1,71,3,1298.04,34,432.68,224
12373,Low Value Customer,0,310,1,364.6,14,364.6,0
12374,Regular Customer,1,24,1,742.9300000000001,33,742.93,0
12375,Regular Customer,1,10,2,457.5,14,228.75,87
12377,Low Value Customer,0,314,2,1628.12,72,814.06,39
12378,Regular Customer,1,129,1,4008.62,219,4008.62,0
12379,Regular Customer,1,81,2,852.24,39,426.12,88
12380,Regular Customer,1,21,4,2724.81,77,681.2,164
12381,Regular Customer,1,4,5,1845.31,70,369.06,115
12383,Low Value Customer,0,184,5,1850.56,84,370.11,167
12384,Regular Customer,1,28,2,585.27,26,292.64,92
12386,Low Value Customer,0,337,2,401.9,10,200.95,29
12388,Regular Customer,1,15,6,2780.66,57,463.44,311
