date,predicted_revenue
2011-12-10,37259.27
2011-12-11,32350.18
2011-12-12,37182.1
2011-12-13,39977.84
2011-12-14,40863.8
2011-12-15,41983.36
2011-12-16,38072.53
2011-12-17,38708.57
2011-12-18,34716.29
2011-12-19,42569.15
2011-12-20,42688.72
2011-12-21,41623.29
2011-12-22,42128.34
2011-12-23,41765.99
2011-12-24,37541.37
2011-12-25,33719.34
2011-12-26,39605.43
2011-12-27,39692.88
2011-12-28,41283.23
2011-12-29,43374.9
2011-12-30,40856.5
2011-12-31,37901.65
2012-01-01,35235.13
2012-01-02,29767.13
2012-01-03,28210.04
2012-01-04,29348.79
2012-01-05,29447.16
2012-01-06,26776.79
2012-01-07,21474.86
2012-01-08,15372.84
